Transaction_ID,Customer_ID,Purchase_Date,Purchased_Product_IDs,Order_Value,Order_Location,Repeat_Purchase_Score,Return_Rate
TXN00001,CUST4455,2023-10-30 03:40:45,['PROD0334'],235000,Pangkalpinang,0.51,0.4
TXN00002,CUST2132,2024-06-12 14:17:14,['PROD0936'],177000,Tarakan,0.97,0.33
TXN00003,CUST3169,2024-05-24 03:42:13,['PROD0080'],202000,Langsa,0.15,0.49
TXN00004,CUST0185,2023-10-25 19:21:34,"['PROD0510', 'PROD0595']",292000,Depok,0.81,0.25
TXN00005,CUST3128,2025-07-09 21:32:13,['PROD1044'],226000,Kendari,0.74,0.02
TXN00006,CUST0283,2024-11-06 04:46:47,['PROD0359'],456000,Depok,0.69,0.22
TXN00007,CUST2067,2025-04-23 14:38:33,['PROD0235'],445000,Purwokerto,0.68,0.09
TXN00008,CUST1396,2024-04-01 01:42:27,['PROD0540'],413000,Kupang,0.58,0.4
TXN00009,CUST3805,2024-02-17 22:24:48,['PROD0985'],364000,Bogor,0.84,0.23
TXN00010,CUST3869,2024-07-09 01:11:00,['PROD0169'],266000,Padang Sidempuan,0.87,0.2
TXN00011,CUST3646,2023-11-13 19:34:43,['PROD0058'],340000,Kota Administrasi Jakarta Selatan,0.98,0.05
TXN00012,CUST4324,2024-10-16 11:47:44,"['PROD0388', 'PROD0134']",340000,Sibolga,0.7,0.07
TXN00013,CUST4251,2024-12-07 03:17:21,['PROD0537'],354000,Subulussalam,0.67,0.18
TXN00014,CUST2497,2025-03-23 10:31:35,['PROD1019'],430000,Kupang,0.66,0.38
TXN00015,CUST3629,2024-09-26 01:43:33,"['PROD0269', 'PROD0252', 'PROD0519']",1353000,Meulaboh,0.98,0.02
TXN00016,CUST1171,2024-03-15 11:10:10,['PROD0422'],208000,Kupang,0.86,0.34
TXN00017,CUST3246,2024-01-07 07:01:05,"['PROD1034', 'PROD0502', 'PROD0692', 'PROD1050']",924000,Subulussalam,0.85,0.26
TXN00018,CUST1168,2025-01-14 20:57:58,['PROD0938'],317000,Bekasi,0.92,0.01
TXN00019,CUST1835,2024-07-07 19:13:36,['PROD0763'],216000,Denpasar,0.45,0.46
TXN00020,CUST1087,2025-01-22 14:46:35,"['PROD0571', 'PROD1021']",558000,Manado,0.26,0.44
TXN00021,CUST0288,2024-12-29 07:25:53,['PROD0329'],110000,Sawahlunto,0.53,0.43
TXN00022,CUST3906,2024-11-16 23:07:30,"['PROD0189', 'PROD0513']",540000,Magelang,0.82,0.32
TXN00023,CUST3896,2023-09-11 06:25:15,['PROD0018'],320000,Subulussalam,0.69,0.06
TXN00024,CUST3393,2023-11-04 02:44:28,['PROD0841'],248000,Payakumbuh,0.11,0.44
TXN00025,CUST3669,2024-05-10 11:35:44,['PROD0978'],426000,Kendari,0.22,0.41
TXN00026,CUST2079,2025-07-17 03:15:05,"['PROD0103', 'PROD0443']",503000,Surakarta,0.27,0.42
TXN00027,CUST1394,2025-03-17 08:24:16,['PROD0344'],337000,Tual,0.99,0.17
TXN00028,CUST1425,2023-12-25 19:47:55,"['PROD0449', 'PROD0491']",470000,Bau-Bau,0.87,0.31
TXN00029,CUST2310,2024-05-30 11:04:20,"['PROD0052', 'PROD1032', 'PROD0530']",936000,Bitung,0.13,0.5
TXN00030,CUST0626,2024-04-19 13:28:39,"['PROD0953', 'PROD0313', 'PROD1047', 'PROD0339']",1093000,Pangkalpinang,0.73,0.08
TXN00031,CUST1511,2023-12-24 07:53:33,['PROD0927'],292000,Bima,0.9,0.04
TXN00032,CUST1936,2023-10-26 19:26:20,['PROD0857'],252000,Cimahi,0.71,0.18
TXN00033,CUST1123,2024-06-23 16:29:25,['PROD0812'],424000,Padang,0.75,0.39
TXN00034,CUST4695,2023-10-16 02:06:10,['PROD0818'],225000,Metro,0.77,0.06
TXN00035,CUST2644,2024-05-26 08:47:05,['PROD1058'],227000,Magelang,0.62,0.36
